Block Name,Component Name,Component Count,Source File
Disposable Beacon,SteelPlate,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,Construction,30,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,LargeTube,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,Computer,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,RadioCommunication,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,SteelPlate,40,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,Construction,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,SmallTube,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,Computer,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,RadioCommunication,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Disposable Beacon,SteelPlate,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_DisposableBeacons.sbc
Shipyard Terminal,InteriorPlate,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Shipyard Terminal,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Shipyard Terminal,Computer,8,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Shipyard Terminal,Display,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Shipyard Terminal,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Shipyard Terminal,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Suit Upgrade Station,InteriorPlate,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Suit Upgrade Station,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Suit Upgrade Station,Computer,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Suit Upgrade Station,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Suit Upgrade Station,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Research Terminal,InteriorPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Research Terminal,Construction,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Research Terminal,Computer,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Research Terminal,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Research Terminal,Display,4,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Research Terminal,Construction,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_Economy.sbc
Proprietary Conveyor Junction,InteriorPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Junction,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Junction,SmallTube,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Junction,Motor,3,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Junction,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Junction,Construction,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Junction,InteriorPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube,InteriorPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube,SmallTube,6,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube,Motor,3,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube,InteriorPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube Corner,InteriorPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube Corner,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube Corner,SmallTube,6,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube Corner,Motor,3,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube Corner,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Tube Corner,InteriorPlate,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,InteriorPlate,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,Construction,50,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,SmallTube,25,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,Computer,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,Motor,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Conveyor Sorter,InteriorPlate,5,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,SteelPlate,250,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,Construction,20,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,LargeTube,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,MetalGrid,25,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,Motor,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,Computer,3,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,ProprietaryTech,1,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Proprietary Gyroscope,SteelPlate,50,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_HeavyOrComponentRich.sbc
Suit Upgrade Station,InteriorPlate,15,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
Suit Upgrade Station,Construction,10,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
Suit Upgrade Station,Motor,2,./data/modded/rebels-games-modded-blocks\1521905890\Data\Blocks\CubeBlocks_MedicalStation.sbc
